Comments,vader_neg,vader_neu,vader_pos,vader_compound,vader_label
no be smalll,0.524,0.476,0.0,-0.296,neutral
This song bam,0.0,1.0,0.0,0.0,neutral
Golden penny pasta +classic cream bread,0.0,1.0,0.0,0.0,neutral
Tasha bread,0.0,1.0,0.0,0.0,neutral
A mmlm,0.0,1.0,0.0,0.0,neutral
Why Emma,0.0,1.0,0.0,0.0,neutral
"If love is real ex for no dey ,as for me o , there's no fuckin real love",0.162,0.517,0.32,0.7414,positive
Golden penny ,0.0,1.0,0.0,0.0,neutral
Tasha nawao,0.0,1.0,0.0,0.0,neutral
Omw ,0.0,1.0,0.0,0.0,neutral
bread with spaghetti,0.0,1.0,0.0,0.0,neutral
I just finished eating golden penny pasta Nd smoked fish... yummy thank you @Golden penny ,0.0,0.688,0.312,0.7096,positive
u and this bread ehn,0.0,1.0,0.0,0.0,neutral
The name of the song,0.0,1.0,0.0,0.0,neutral
This babe is very creative,0.0,0.556,0.444,0.4927,neutral
Song title please,0.0,0.465,0.535,0.3182,neutral
Golden penny spaghetti is d best,0.0,0.543,0.457,0.6369,positive
Love hunts,0.0,0.192,0.808,0.6369,positive
Also from imo state,0.0,1.0,0.0,0.0,neutral
Abeg which kind advant be this,0.0,0.595,0.405,0.5267,positive
Abeg who sing that song,0.0,1.0,0.0,0.0,neutral
Not sticking,0.0,1.0,0.0,0.0,neutral
I was waiting for the bread,0.0,1.0,0.0,0.0,neutral
Who sang this song please,0.0,0.635,0.365,0.3182,neutral
Advertised for two companies there,0.0,1.0,0.0,0.0,neutral
Name of song?,0.0,1.0,0.0,0.0,neutral
So emotional,0.0,0.346,0.654,0.2247,neutral
Name of song please,0.0,0.566,0.434,0.3182,neutral
Tittle of the song pls,0.0,0.755,0.245,0.0772,neutral
The best in the Market,0.0,0.488,0.512,0.6369,positive
Tasha they always remember Emma,0.0,1.0,0.0,0.0,neutral
See this bad character,0.538,0.462,0.0,-0.5423,negative
Please what's the title of the music?,0.0,0.723,0.277,0.3182,neutral
Chief was not informed,0.0,1.0,0.0,0.0,neutral
Marrz the world will hear you,0.0,1.0,0.0,0.0,neutral
What of dose wey no get x,0.268,0.732,0.0,-0.296,neutral
Emma why???,0.0,1.0,0.0,0.0,neutral
Abeg Na who sing the song,0.0,1.0,0.0,0.0,neutral
Why Emma??,0.0,1.0,0.0,0.0,neutral
I don't have any problem with this video oo but why you go use my name (Emma),0.0,0.908,0.092,0.1603,neutral
Please song title,0.0,0.465,0.535,0.3182,neutral
"Everytime I come across salty food, I remember her",0.0,1.0,0.0,0.0,neutral
"I was waiting for bread, thank God I didn't wait in vein",0.0,0.685,0.315,0.5574,positive
"I don't like their noodles, I can still stick with the spaghetti",0.161,0.839,0.0,-0.2755,neutral
"Golden Penny Pasta is best among all, after golden penny na still golden penny. Tasting others pastas is a waste of money",0.104,0.741,0.156,0.34,neutral
Why emma?,0.0,1.0,0.0,0.0,neutral
Bad pepperish and tasteless stew or soup,0.368,0.632,0.0,-0.5423,negative
Name of the music please,0.0,0.635,0.365,0.3182,neutral
"if it's not Golden penny, then it's not Golden",0.0,1.0,0.0,0.0,neutral
Egwsi soup,0.0,1.0,0.0,0.0,neutral
I been wan surprise say bread no dey involved ,0.195,0.619,0.186,-0.0258,neutral
You don start o,0.0,1.0,0.0,0.0,neutral
Chinken pie,0.0,1.0,0.0,0.0,neutral
"Tasha, wetin be your problem",0.403,0.597,0.0,-0.4019,neutral
Golden penny pasta is the conclusion.,0.0,1.0,0.0,0.0,neutral
Talent dey bikonu,0.0,0.417,0.583,0.4215,neutral
Emma Don suffer oh ehnnn lol,0.34,0.388,0.272,-0.1779,neutral
Why e come be Emma,0.0,1.0,0.0,0.0,neutral
"What I’m eating right now ￼,",0.0,1.0,0.0,0.0,neutral
Neekah never disappoints,0.0,0.478,0.522,0.2924,neutral
Good advert,0.0,0.256,0.744,0.4404,neutral
Na always Emma,0.0,1.0,0.0,0.0,neutral
Custard,0.0,1.0,0.0,0.0,neutral
Which Emma,0.0,1.0,0.0,0.0,neutral
Hahaha,0.0,0.0,1.0,0.5574,positive
Ahhh!,0.0,1.0,0.0,0.0,neutral
You be mumuuu,0.0,1.0,0.0,0.0,neutral
"Hmmm, yummy",0.0,0.227,0.773,0.5267,positive
Oha soup,0.0,1.0,0.0,0.0,neutral
Tasha why,0.0,1.0,0.0,0.0,neutral
U wan implicate Tasha omg.....,0.0,1.0,0.0,0.0,neutral
Fufu and okro,0.0,1.0,0.0,0.0,neutral
Indomie,0.0,1.0,0.0,0.0,neutral
Must u mention Emma,0.0,1.0,0.0,0.0,neutral
Korede spaghetti,0.0,1.0,0.0,0.0,neutral
Hahahahah,0.0,1.0,0.0,0.0,neutral
Chai,0.0,1.0,0.0,0.0,neutral
Advert opurrrr,0.0,1.0,0.0,0.0,neutral
See men,0.0,1.0,0.0,0.0,neutral
Toto,0.0,1.0,0.0,0.0,neutral
Emma dey follow you like monitoring spit,0.0,0.706,0.294,0.3612,neutral
Protein is essential for growth,0.0,0.606,0.394,0.3818,neutral
"Thank you so much, I really agree with you, spaghetti has a lot of vitamin and energy to sustain you all day.",0.0,0.652,0.348,0.8221,positive
Golden pasta is one of the best,0.0,0.588,0.412,0.6369,positive
YESOOOOOOOH ONE LOVE KEEP US TOGETHER,0.0,0.543,0.457,0.6369,positive
Pls how do I get the Golden penny spaghetti in large quantity supply I urgently need it?,0.0,0.925,0.075,0.0772,neutral
Yummy Yummy,0.0,0.0,1.0,0.7783,positive
But pls u guys should reduce the prices all my life since from childhood till now I have eaten any other spaghetti only golden penny the price is too much pls I too love the spag,0.0,0.791,0.209,0.8271,positive
Thanks Golden Penny Pasta eating together unite the family,0.0,0.734,0.266,0.4404,neutral
Golden Penny is the best,0.0,0.488,0.512,0.6369,positive
I gree with you.,0.0,1.0,0.0,0.0,neutral
Increase the volume,0.0,0.465,0.535,0.3182,neutral
Extremely great,0.0,0.185,0.815,0.659,positive
i love it,0.0,0.323,0.677,0.6369,positive
Sweet food,0.0,0.25,0.75,0.4588,neutral
Louder,0.0,1.0,0.0,0.0,neutral
Fact,0.0,1.0,0.0,0.0,neutral
"Golden Penny Pasta Is lit , I cooked golden penny pasta this afternoon",0.0,1.0,0.0,0.0,neutral
Your product is very expensive God will judge all of us in this country,0.0,0.845,0.155,0.3353,neutral
@Golden Penny Pasta Best,0.0,0.417,0.583,0.6369,positive
So delicious,0.0,0.2,0.8,0.6115,positive
total agree,0.0,0.264,0.736,0.4201,neutral
My Best Spaghetti,0.0,0.323,0.677,0.6369,positive
Hello golden penny is my g i am actress,0.0,1.0,0.0,0.0,neutral
TRUE,0.0,0.0,1.0,0.4215,neutral
So y'all still eat golden penny,0.0,1.0,0.0,0.0,neutral
God bless you,0.0,0.169,0.831,0.5994,positive
All of them ,0.0,1.0,0.0,0.0,neutral
1y,0.0,1.0,0.0,0.0,neutral
Yummy jollof I mix both at times,0.0,0.638,0.362,0.5267,positive
Nourishing delicious moment for me and my family Golden Penny Pasta.,0.0,0.73,0.27,0.5719,positive
Spaghetti wey dey ginger energy,0.0,0.656,0.344,0.2732,neutral
Hello Children it's Yommy time with Golden Penny Pasta.,0.0,1.0,0.0,0.0,neutral
All of them but spaghetti is gold now why?,0.0,1.0,0.0,0.0,neutral
If it not golden penny twist abeg pack well,0.0,0.792,0.208,0.2732,neutral
"Golden Penny Pasta u r the best ever but expensive,we can barely afford u",0.0,0.833,0.167,0.3818,neutral
Spaghetti all the way,0.0,1.0,0.0,0.0,neutral
Macaroni and twist,0.0,1.0,0.0,0.0,neutral
It's always a delicious and a non resist meal when ever they're both prepared,0.0,0.682,0.318,0.6808,positive
"Honestly, Golden Penny Pasta is a game changer!",0.0,0.68,0.32,0.5093,positive
All we don't joke with them,0.274,0.726,0.0,-0.2235,neutral
Don't joke with the pasta,0.321,0.679,0.0,-0.2235,neutral
All of the golden Penny products,0.0,1.0,0.0,0.0,neutral
All because i am not joke with your product golden penny.,0.159,0.841,0.0,-0.2235,neutral
Me and my daughter don't joke with it oooo,0.191,0.809,0.0,-0.2235,neutral
Any one for me,0.0,1.0,0.0,0.0,neutral
"Nice one ,by the Golden Penny Pasta ,good advertisement .",0.0,0.584,0.416,0.6908,positive
I love golden penny products,0.0,0.488,0.512,0.6369,positive
Spaghetti and macaroni,0.0,1.0,0.0,0.0,neutral
Yummy.I love Golden Penny Pasta,0.0,0.488,0.512,0.6369,positive
What happened to Golden Penny Spa? Its not in my area. I can only find the slim one,0.0,1.0,0.0,0.0,neutral
Slim spaghetti.,0.0,1.0,0.0,0.0,neutral
Spaghetti,0.0,1.0,0.0,0.0,neutral
Spaghetti and twist,0.0,1.0,0.0,0.0,neutral
Jollof spaghetti,0.0,1.0,0.0,0.0,neutral
Spaghettini,0.0,1.0,0.0,0.0,neutral
Yammy,0.0,1.0,0.0,0.0,neutral
All because they are all Delicious,0.0,0.575,0.425,0.5719,positive
"Yummy.llove Golden penny pasta 1,000",0.0,1.0,0.0,0.0,neutral
The couscous,0.0,1.0,0.0,0.0,neutral
Very. Very. Good,0.0,0.366,0.634,0.5379,positive
YES,0.0,0.0,1.0,0.4019,neutral
Spaghetni,0.0,1.0,0.0,0.0,neutral
I love the golden penny pasta you guys should bring the price down,0.0,0.741,0.259,0.6369,positive
If it is no golden penny spaghetti am not cooking or eating,0.167,0.833,0.0,-0.296,neutral
Golden penny spaghetti is the best pasta ever,0.0,0.625,0.375,0.6369,positive
I can't do without golden penny products,0.0,1.0,0.0,0.0,neutral
Golden penny spaghetti serving you better.,0.0,0.633,0.367,0.4404,neutral
No 1 Pasta Brand,0.423,0.577,0.0,-0.296,neutral
Golden penny spaghetti serves u better.,0.0,0.633,0.367,0.4404,neutral
Deliciously tasty,0.0,0.256,0.744,0.4404,neutral
You guys are the GOATs of pasta,0.0,1.0,0.0,0.0,neutral
"Even with this hard time in Nigeria, the nutrients of golden penny products didn't reduce thanks to golden penny",0.187,0.813,0.0,-0.4416,neutral
Golden penny spaghetti fill the nation,0.0,1.0,0.0,0.0,neutral
I stand for everything golden penny,0.0,1.0,0.0,0.0,neutral
Love#goldenspaghetti,0.0,1.0,0.0,0.0,neutral
Taste better than order,0.0,0.508,0.492,0.4404,neutral
Give me please,0.0,0.465,0.535,0.3182,neutral
Please look into this,0.0,0.566,0.434,0.3182,neutral
Macaroni no dey this east,0.355,0.645,0.0,-0.296,neutral
Golden Penny spaghetti ,0.0,1.0,0.0,0.0,neutral
Golden Penny Pasta replied,0.0,1.0,0.0,0.0,neutral
How much,0.0,1.0,0.0,0.0,neutral
"Twíst is my favorite too, bought 1 cartoon a few days ago but I realized it gets soggy easily and I don't put plenty o,pls what am I ñot doing right.",0.0,0.85,0.15,0.6249,positive
Top,0.0,0.0,1.0,0.2023,neutral
"Twist is my favorite but, it's like it's not in the market again. Wataguan?",0.0,0.696,0.304,0.6428,positive
"golden penny, the great pasta company in Nigeria",0.0,0.631,0.369,0.6249,positive
Golden penny pasta is best,0.0,0.488,0.512,0.6369,positive
"I really love golden penny pasta, it is my fancy favorite meal",0.0,0.572,0.428,0.8173,positive
Golden penny pasta or nothing,0.0,1.0,0.0,0.0,neutral
Golden penny pasta best among all,0.0,0.543,0.457,0.6369,positive
I love Golden penny pasta,0.0,0.488,0.512,0.6369,positive
"You guys are awesome, golden penny pasta remains the best",0.0,0.491,0.509,0.8519,positive
More reason to love,0.0,0.402,0.598,0.6666,positive
GOLDEN PENNY PASTA LIKE NO OTHER,0.253,0.46,0.287,0.0772,neutral
"Golden penny spaghetti and all that concern their company remains the best if no be golden penny I no dey chop , golden remains golden",0.144,0.719,0.137,0.2023,neutral
GOLDEN PENNY PASTA MY NUMBER ONE,0.0,0.794,0.206,0.0772,neutral
It's happening live here,0.0,1.0,0.0,0.0,neutral
When are you doing this in enugu ?,0.0,1.0,0.0,0.0,neutral
I love golden penny pasta but it's expensive,0.0,0.729,0.271,0.3818,neutral
"I have tried other pastas but I choose Golden penny, it's the Oga of other pastas",0.0,1.0,0.0,0.0,neutral
"This is a recipe I'll try out, I love how it looks",0.0,0.724,0.276,0.6369,positive
From the look you  go know say the spaghetti no done,0.18,0.82,0.0,-0.296,neutral
How una take dey chop and enjoy spaghettini,0.0,0.686,0.314,0.4939,neutral
Wow amazing cooking  skills for your,0.0,0.345,0.655,0.8225,positive
Wow looks delicious,0.0,0.118,0.882,0.8176,positive
Wow so yummy yummy,0.0,0.082,0.918,0.9036,positive
Yummy and tasty enjoy your time,0.0,0.377,0.623,0.765,positive
"You guys need to work on your quantity, your pasta is so small now that it can barely be enough for two persons",0.0,1.0,0.0,0.0,neutral
Looks delicious,0.0,0.213,0.787,0.5719,positive
Wow so delicious i like that yummy,0.0,0.177,0.823,0.932,positive
"This recipe I'll try out, i love it.",0.0,0.625,0.375,0.6369,positive
Wow delicious spaghetti  I like that bro..,0.0,0.286,0.714,0.875,positive
i well try your recipe thank you so much  love it pasta,0.0,0.498,0.502,0.8434,positive
wowww it looks yummy,0.0,0.469,0.531,0.5267,positive
Yummy pasta I like it,0.0,0.337,0.663,0.7096,positive
Yummy spaghetti,0.0,0.227,0.773,0.5267,positive
so yummy cooking,0.0,0.351,0.649,0.5709,positive
Very delicious food.,0.0,0.334,0.666,0.6115,positive
That looks delicious,0.0,0.351,0.649,0.5719,positive
My favourite So Delicious,0.0,0.388,0.612,0.6948,positive
owo Very nice looks recipe. So yummy good testy,0.0,0.361,0.639,0.8919,positive
I love golden penny pasta because it is not sticky,0.0,0.682,0.318,0.6369,positive
This spaghetti no done,0.423,0.577,0.0,-0.296,neutral
My favorite pasta  my enemy can win me over by gifting me this,0.172,0.493,0.335,0.5106,positive
Wow yummy,0.0,0.0,1.0,0.802,positive
I love spicyyum yum,0.0,0.417,0.583,0.6369,positive
This looks absolutely delicious,0.0,0.429,0.571,0.6115,positive
yummy all the best,0.0,0.208,0.792,0.8225,positive
Wow I really love this  looks so good,0.0,0.294,0.706,0.9191,positive
Looks yummy,0.0,0.227,0.773,0.5267,positive
Golden penny is the best I love love it so much even if it’s expensive I will still purchase it,0.0,0.574,0.426,0.9274,positive
"That's looks delicious ,i loved it.",0.0,0.345,0.655,0.8225,positive
Wow looks so yummy,0.0,0.211,0.789,0.8173,positive
yummy creamy  pasta,0.0,0.37,0.63,0.5267,positive
Wow look so delicious,0.0,0.204,0.796,0.8313,positive
Tasty yummy,0.0,0.227,0.773,0.5267,positive
Delicious enjoy,0.0,0.0,1.0,0.7845,positive
wow yummy yummy,0.0,0.0,1.0,0.891,positive
yummy yummy,0.0,0.0,1.0,0.7783,positive
yummy very tasty food,0.0,0.469,0.531,0.5267,positive
So good taste,0.0,0.385,0.615,0.4927,neutral
Looks very delicious,0.0,0.334,0.666,0.6115,positive
What brand of cooking cream,0.0,1.0,0.0,0.0,neutral
looks so yummy,0.0,0.351,0.649,0.5709,positive
Tasty recipe,0.0,1.0,0.0,0.0,neutral
yummy yummy pasta,0.0,0.128,0.872,0.7783,positive
Wow! Yummy Yummy..,0.0,0.0,1.0,0.8977,positive
Wow yummy lodz enjoy,0.0,0.088,0.912,0.886,positive
Beautiful... A little bit too oily for me,0.0,0.642,0.358,0.5994,positive
Looking delicious,0.0,0.213,0.787,0.5719,positive
Wow so delicious,0.0,0.114,0.886,0.8313,positive
Wow! So delicious,0.0,0.11,0.89,0.8436,positive
Woowwww this is delicious,0.0,0.448,0.552,0.5719,positive
Tasty and yummy,0.0,0.37,0.63,0.5267,positive
"Wow.. looks delicious brother, enjoy your meal, yummy",0.0,0.221,0.779,0.9337,positive
Good food,0.0,0.256,0.744,0.4404,neutral
Tasty & delicious,0.0,0.351,0.649,0.5719,positive
Best food,0.0,0.192,0.808,0.6369,positive
Wow it's delicious,0.0,0.118,0.882,0.8176,positive
Super yummy,0.0,0.0,1.0,0.8074,positive
your spag is not fully cooked,0.0,1.0,0.0,0.0,neutral
Wow so yummy,0.0,0.118,0.882,0.8173,positive
"My baby girl said ""the pasta  is too long for her to swallow"" after watching  as if you are dishing out for her",0.0,1.0,0.0,0.0,neutral
"My pasta, my everything. No other Pasta can satisfy me like you do. The pasta doesn't cuddle no matter, I love golden penny I swear",0.103,0.573,0.324,0.8103,positive
Wow super yummy,0.0,0.0,1.0,0.9022,positive
Wow Yummy,0.0,0.0,1.0,0.802,positive
I like it,0.0,0.444,0.556,0.3612,neutral
So yummy!,0.0,0.201,0.799,0.6105,positive
So yummy,0.0,0.213,0.787,0.5709,positive
Well done Golden penny.,0.0,0.588,0.412,0.2732,neutral
Wooooow,0.0,1.0,0.0,0.0,neutral
Wow very nice this video,0.0,0.303,0.697,0.7841,positive
Yes golden penny remains the best pastas,0.0,0.42,0.58,0.7845,positive
Wow very yummy,0.0,0.118,0.882,0.8173,positive
One of my favorites,0.0,0.517,0.483,0.4215,neutral
This looks beautiful and yummy!,0.0,0.283,0.717,0.8221,positive
Which one is cooking cream there?,0.0,1.0,0.0,0.0,neutral
My favorite pasta for Life,0.0,0.571,0.429,0.4588,neutral
What is cooking cream,0.0,1.0,0.0,0.0,neutral
Well maked noodles,0.0,0.488,0.512,0.2732,neutral
If it’s not Golden Penny Pasta then I’m not in,0.0,1.0,0.0,0.0,neutral
Wowowo awesome recipe,0.0,0.328,0.672,0.6249,positive
"Wow,,yummy yummy,,",0.0,0.227,0.773,0.5267,positive
I need me a man that can cook and more,0.0,1.0,0.0,0.0,neutral
Wow  yummy,0.0,0.0,1.0,0.802,positive
yummy I must try it,0.0,0.541,0.459,0.5267,positive
delicious,0.0,0.0,1.0,0.5719,positive
so yummy,0.0,0.213,0.787,0.5709,positive
No doubt golden penny is the best but I'm still perplexed on how people use milk to cook  like how,0.112,0.607,0.281,0.5354,positive
Although golden penny is the best so pls answer my question yes or no cos I have been meaning to try this creamy pasta,0.071,0.648,0.28,0.7537,positive
Wow so yummy  and nice video,0.0,0.221,0.779,0.8899,positive
Wow I like it,0.0,0.241,0.759,0.743,positive
Am I the only one that doesn’t like this spaghettini I prefer the normal spag abeg,0.0,0.857,0.143,0.3612,neutral
wow yummy,0.0,0.0,1.0,0.802,positive
Looks so yummy I will also try to cook this thank you for sharing,0.0,0.54,0.46,0.8544,positive
Please I need the ingredient,0.0,0.635,0.365,0.3182,neutral
Wow! Looks good,0.0,0.125,0.875,0.7901,positive
I can only eat golden penny,0.0,1.0,0.0,0.0,neutral
wow so beautiful,0.0,0.111,0.889,0.8399,positive
Wow my favorite,0.0,0.128,0.872,0.7783,positive
Sounds yummy,0.0,0.227,0.773,0.5267,positive
Wow a good Cook,0.0,0.23,0.77,0.7717,positive
Please is that milk,0.0,0.566,0.434,0.3182,neutral
"This is spaghettinn not your regular spaghetti, this one he used is more tinny, trust me it tastes far better than the regular",0.0,0.764,0.236,0.7564,positive
Looks delicious yummy,0.0,0.123,0.877,0.7964,positive
I love pasta so much,0.0,0.488,0.512,0.6369,positive
Golden penny macaroni is whack,0.0,1.0,0.0,0.0,neutral
I will try it without the cream,0.0,1.0,0.0,0.0,neutral
I love Golden penny pasta since time immemorial,0.0,0.625,0.375,0.6369,positive
Wow looks diliciouse,0.0,0.345,0.655,0.5859,positive
Golden penny pasta is the G.O.A.T,0.0,1.0,0.0,0.0,neutral
Like normally everyone loves,0.0,0.244,0.756,0.7351,positive
Wow amazing,0.0,0.0,1.0,0.8225,positive
So beautiful,0.0,0.193,0.807,0.6361,positive
so beautiful,0.0,0.193,0.807,0.6361,positive
Yummy....,0.0,0.0,1.0,0.5267,positive
Video very good,0.0,0.385,0.615,0.4927,neutral
"This is how my 12 years old cook spaghetti when he's very hungry, half done",0.0,1.0,0.0,0.0,neutral
Wow nice video,0.0,0.132,0.868,0.765,positive
What is that liquid that you pour on it?,0.0,1.0,0.0,0.0,neutral
This spaghetti isn't done,0.0,1.0,0.0,0.0,neutral
Golden penny remains d best of all spag,0.0,0.625,0.375,0.6369,positive
love you brother,0.0,0.323,0.677,0.6369,positive
beautiful,0.0,0.0,1.0,0.5994,positive
Love it so Delicious very yummy. @followers,0.0,0.248,0.752,0.9209,positive
very very nice,0.0,0.372,0.628,0.5222,positive
wow very nice,0.0,0.127,0.873,0.7841,positive
Golden Penny and Crown,0.0,1.0,0.0,0.0,neutral
Looked so delicious,0.0,0.334,0.666,0.6115,positive
Ingredients pls,0.0,0.435,0.565,0.0772,neutral
Someone should pls like my  comment so I can come back to this,0.0,0.743,0.257,0.4215,neutral
"Yummy ,will try this",0.0,0.469,0.531,0.5267,positive
count me in,0.0,1.0,0.0,0.0,neutral
I miss you please don't go anywhere again please,0.131,0.492,0.377,0.4588,neutral
Wow love it super delicious,0.0,0.06,0.94,0.9485,positive
Yammi yammi,0.0,1.0,0.0,0.0,neutral
It is the best so far,0.0,0.543,0.457,0.6369,positive
Khoob Logon pasta,0.0,1.0,0.0,0.0,neutral
Golden penny is the best of them all,0.0,0.625,0.375,0.6369,positive
Wow so grate,0.0,0.345,0.655,0.5859,positive
Golden penny please the spaghetti that he is holding the spelling is spaghettin is that the original one,0.0,0.777,0.223,0.5574,positive
Yemmy yemmy big brother,0.0,1.0,0.0,0.0,neutral
Which cooking cream is the best for pasta ?,0.0,0.656,0.344,0.6369,positive
Coloured you poured is not okay to the human health,0.156,0.844,0.0,-0.1695,neutral
wow yummy noodles,0.0,0.122,0.878,0.802,positive
It's not well cooked o..,0.312,0.688,0.0,-0.2057,neutral
Where can one get cooking milk? I want to try this,0.0,0.885,0.115,0.0772,neutral
Very good,0.0,0.238,0.762,0.4927,neutral
Looks very nice and delicious,0.0,0.298,0.702,0.7939,positive
Wow love this yummy,0.0,0.081,0.919,0.9081,positive
Yum yum,0.0,1.0,0.0,0.0,neutral
Looks so delicious,0.0,0.334,0.666,0.6115,positive
Oil is too much nah everything no,0.419,0.581,0.0,-0.3818,neutral
It looks yummy but I don't like too much oil,0.207,0.622,0.171,-0.1192,neutral
Wow.i like cooking,0.0,0.444,0.556,0.3612,neutral
Jussi,0.0,1.0,0.0,0.0,neutral
U can cook,0.0,1.0,0.0,0.0,neutral
Lovely vintage,0.0,0.208,0.792,0.5859,positive
Yummy all the best,0.0,0.208,0.792,0.8225,positive
This girl is too good,0.0,0.58,0.42,0.4404,neutral
Sweet and tastey,0.0,0.4,0.6,0.4588,neutral
wow heavy spicy pasta because nice colour Yami thank you for post nice video,0.0,0.457,0.543,0.8979,positive
Nice work,0.0,0.263,0.737,0.4215,neutral
yammi,0.0,1.0,0.0,0.0,neutral
WOW so yummy,0.0,0.108,0.892,0.8491,positive
We have trashed all pasta and noodles,0.0,1.0,0.0,0.0,neutral
Yummy  I just finished cooking mine with veggies and salad now and I am breaking with it .,0.0,0.833,0.167,0.5267,positive
That spaghetti no done well o!,0.518,0.482,0.0,-0.5116,negative
pasta or nothing,0.0,1.0,0.0,0.0,neutral
Yummy food,0.0,0.227,0.773,0.5267,positive
Golden penny is the best out of all,0.0,0.625,0.375,0.6369,positive
Oga the spaghetti no done!,0.384,0.616,0.0,-0.3595,neutral
If no be golden penny e no fit o,0.381,0.619,0.0,-0.5122,negative
love this brand of pasta cus it not sticky,0.0,0.656,0.344,0.6369,positive
That's delicious,0.0,0.213,0.787,0.5719,positive
I like brother,0.0,0.444,0.556,0.3612,neutral
"Walahi,your spaghetti  is not done Uncle",0.0,1.0,0.0,0.0,neutral
Wow..i love pasta,0.0,0.323,0.677,0.6369,positive
Golden penny my favorite,0.0,0.5,0.5,0.4588,neutral
Wow..very nice,0.0,0.263,0.737,0.4215,neutral
Too oily,0.0,1.0,0.0,0.0,neutral
Is that all we can cook in Nigeria—pasta jollof?,0.0,1.0,0.0,0.0,neutral
Wow delicious,0.0,0.0,1.0,0.8176,positive
Abeg was it milk u poured in it cause I would like to try it out,0.0,0.857,0.143,0.3612,neutral
"Wetin I dey eat this thing, una suppose give me brand ambassador @golden penny pasta",0.0,1.0,0.0,0.0,neutral
It's creamy wow,0.0,0.345,0.655,0.5859,positive
You don't list out your ingredients,0.0,1.0,0.0,0.0,neutral
Not ur voice over,0.0,1.0,0.0,0.0,neutral
wow i love it,0.0,0.2,0.8,0.8402,positive
Pasta pls work on ur macaroni..,0.0,0.794,0.206,0.0772,neutral
Too costly now,0.412,0.588,0.0,-0.1027,neutral
Normally this guy like spag from school,0.0,0.706,0.294,0.3612,neutral
chaoming,0.0,1.0,0.0,0.0,neutral
Now you make me wanna make mine,0.0,1.0,0.0,0.0,neutral
Wow looks yummy,0.0,0.122,0.878,0.802,positive
Looks delesios,0.0,1.0,0.0,0.0,neutral
you sure say nor be watein dey do you be this,0.0,0.813,0.187,0.3182,neutral
So yammy,0.0,1.0,0.0,0.0,neutral
Yummylicious,0.0,1.0,0.0,0.0,neutral
Abeg na milk unah dey pour put so?,0.0,1.0,0.0,0.0,neutral
Milk in spaghetti?,0.0,1.0,0.0,0.0,neutral
Oil is and coconut milk u added is much bro and also much supi,0.0,1.0,0.0,0.0,neutral
Was that coconut milk you poured in there?,0.0,1.0,0.0,0.0,neutral
Pls what is d white thing he added,0.0,0.843,0.157,0.0772,neutral
I am from Bangladesh please like comment share and follow me,0.0,0.533,0.467,0.7184,positive
"Remove detty language. Use family, church , choir and positive like charity. Is becoming uncommon globally",0.0,0.594,0.406,0.836,positive
Wow yams,0.0,0.208,0.792,0.5859,positive
YummyMy favourite pasta,0.0,1.0,0.0,0.0,neutral
Wow  amazing,0.0,0.0,1.0,0.8225,positive
wow lab it,0.0,0.345,0.655,0.5859,positive
Yummy idol,0.0,0.227,0.773,0.5267,positive
Hmmm unah Dan dey use peek milk dey cook pasta nah wahooo,0.113,0.887,0.0,-0.1027,neutral
Wow nice,0.0,0.0,1.0,0.765,positive
Wow  Yammy,0.0,0.208,0.792,0.5859,positive
One of my favorite,0.0,0.5,0.5,0.4588,neutral
Yuumy,0.0,1.0,0.0,0.0,neutral
woww,0.0,1.0,0.0,0.0,neutral
"wow,,,,",0.0,0.0,1.0,0.5859,positive
Wowww,0.0,1.0,0.0,0.0,neutral
Wooow very nice,0.0,0.393,0.607,0.4754,neutral
Nice one bro,0.0,0.417,0.583,0.4215,neutral
"Na yin you carry pepper  1000 naira put inside, my brother na only you go chop am",0.0,1.0,0.0,0.0,neutral
Da are d best,0.0,0.417,0.583,0.6369,positive
Half done,0.0,1.0,0.0,0.0,neutral
Yummy.,0.0,0.0,1.0,0.5267,positive
Nice.,0.0,0.0,1.0,0.4215,neutral
nice,0.0,0.0,1.0,0.4215,neutral
yummy food,0.0,0.227,0.773,0.5267,positive
Jesus loves everyone on this platform and that was why He came to die on the cross of Calvary. Pls surrender your life to Him today because tomorrow might be too late. Shalom,0.1,0.771,0.129,0.0258,neutral
Please is that yellow stuff cheese? And the vegetable is called what,0.0,0.827,0.173,0.3182,neutral
"Must try this,delicious",0.0,1.0,0.0,0.0,neutral
Absolutely delicious food enjoy,0.0,0.211,0.789,0.8155,positive
So delicious yummy,0.0,0.115,0.885,0.8258,positive
Yummy  gonna try it,0.0,0.469,0.531,0.5267,positive
Yummy food very well,0.0,0.257,0.743,0.6997,positive
Yummy and easy,0.0,0.137,0.863,0.743,positive
Looks so yummy,0.0,0.351,0.649,0.5709,positive
This looks delicious,0.0,0.351,0.649,0.5719,positive
I will try this one i love pasta. Thanks for the recipe,0.0,0.585,0.415,0.7964,positive
so delicious food i love it something especial,0.0,0.423,0.577,0.8479,positive
Looks delicious nice  live it,0.0,0.316,0.684,0.7579,positive
"Macaroni wey all of us dey manage with stew and cook as jellof and enjoy with chilled Fanta e reach ur turn,u turn am to sharwama",0.0,0.848,0.152,0.5106,positive
I would try it,0.0,1.0,0.0,0.0,neutral
Good tasty food yummy i am Muslim from Bangladesh Chittagong,0.0,0.559,0.441,0.743,positive
Looking very tasty,0.0,1.0,0.0,0.0,neutral
